procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 0  1 781400 64450712   6252 204656    4  111    14   293   50  165  6  1 93  0  0
 0  0 781400 64450460   6252 204908    0    0    16     0   59  608  0  0 99  0  0
 0  0 781400 64453320   6260 204908    0    0     0    52  720 1955  1  2 97  0  0
 0  0 781400 64453532   6260 204908    0    0     0     0   98  685  1  0 99  0  0
 0  0 781400 64452524   6260 204908    0    0     0     0  697 1907  1  2 98  0  0
 0  0 781400 64452524   6260 204908    0    0     0     0   77  651  1  0 99  0  0
 0  0 781400 64452524   6260 204908    0    0     0     0  704 1911  1  1 98  0  0
 1  0 781400 64452276   6268 204900    0    0     0    24   86  688  1  0 99  0  0
 0  0 781400 64452532   6268 204908    0    0     0    12  701 1910  1  2 97  0  0
 0  0 781400 64452508   6268 204908    0    0     0     0   91  671  0  2 98  0  0
 4  0 781040 64427960   7952 228276  384    0 17216    44 2069 8977  5  3 84  7  0
 4  0 781040 64179544   7952 229172    0    0     0     0  202  732 48  4 48  0  0
 4  0 781040 64178160   7960 229184    0    0     0   176  222  767 49  3 48  0  0
 4  0 781040 64177908   7960 229184    0    0     0  8384  182  678 49  3 48  0  0
 4  0 781040 64177908   7960 229184    0    0     0     0  177  673 49  3 48  0  0
 4  0 781040 64177908   7960 229184    0    0     0     0  170  639 48  4 47  0  0
 4  0 781036 64177656   7960 229184   16    0    16     0  180  654 49  3 48  0  0
 5  0 781036 61510164   7968 229208    0    0     0    32  219  806 23 30 47  0  0
 4  0 781036 58822580   7968 229208    0    0     0     0  187  785 15 38 47  0  0
 5  0 780544 56253376  11136 238012  716    0 13312     0 1334 3525 16 39 38  6  0
 4  0 780544 53600316  11136 238744    0    0     0     0  227  851 15 37 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 780532 51059384  11140 238772   16    0    32     0  977 2457 16 37 47  0  0
 4  0 780532 48415080  11148 238776    0    0     0    52  254  868 15 37 48  0  0
 4  0 780532 45783440  11148 238776    0    0     0     0  831 2166 13 38 48  0  0
 4  0 780524 43160024  11148 238776   16    0    16     0  301 1064 14 38 47  0  0
 4  0 780524 40549800  11148 238792    0    0     0     0  888 2239 15 37 48  0  0
 4  1 780332 37974864  11148 238836  700    0   744     0  406 1196 14 37 47  1  0
 4  0 780092 35408744  11156 238820  952    0   952    16 1104 2679 15 37 47  1  0
 4  0 780092 32853460  11156 238820    0    0     0     0  235  911 13 38 49  0  0
 4  0 780088 30323376  11156 238820   12    0    12     0 1033 2568 13 40 47  0  0
 4  0 779864 27747172  11156 238836  312    0   312     0  297  985 14 38 48  0  0
 4  0 779856 25215072  11156 238820   12    0    12     0  920 2302 14 38 47  0  0
 4  0 779856 22685240  11164 238820    0    0     0    16  236  921 12 40 48  0  0
 4  0 779856 20178088  11164 238804    0    0     0     0  918 2291 14 39 47  0  0
 4  0 779852 17677236  11168 238808    8    0    12    72  369 1204 15 38 47  0  0
 4  0 779852 15299988  11168 238808    0    0     0     0  880 2248 13 39 48  0  0
 4  0 779852 12892564  11168 238840    0    0     0     0  234  909 14 38 48  0  0
 4  0 779848 10482432  11176 238820    4    0     4    32  919 2324 12 40 48  0  0
 4  0 779848 8080300  11176 238824    0    0     0     0  243  907 14 38 47  0  0
 4  0 779848 6483124  11196 238848  188    0   384    16 1106 2704 34 20 46  0  0
 4  0 779848 6482368  11196 239076    0    0     0     0  380 1158 48  4 47  0  0
 4  0 779784 6482120  11196 239076   80    0    80     0  925 2193 48  6 46  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779784 6481868  11208 239076    0    0     0    84  237  822 49  2 48  0  0
 4  0 779780 6481868  11208 239092    4    0     4     0  916 2179 49  4 47  0  0
 4  0 779780 6481112  11208 239096    0    0     0   108  350 1108 48  6 46  0  0
 4  0 779780 6481112  11208 239096    0    0     0     0  888 2181 49  4 47  0  0
 4  0 779780 6481112  11208 239080    0    0     0     0  230  795 49  3 48  0  0
 4  0 779780 6479852  11216 239080    0    0     0    32  918 2214 48  5 47  0  0
 4  0 779772 6479348  11216 239080    4    0     4     0  231  805 49  4 47  0  0
 4  0 779760 6477584  11216 239080   32    0    32    24 1007 2432 50  4 46  0  0
 4  0 779752 6477584  11216 239096   12    0    12     0  216  817 50  2 49  0  0
 5  0 779748 6477584  11216 239096    4    0     4     0  367 1109 48  5 47  0  0
 4  0 779744 6477080  11224 239080    8    0     8    16  525 1453 49  3 48  0  0
 4  0 779740 6472984  11224 239080    4    0     4     0  227  809 49  3 48  0  0
 4  0 779736 6474876  11224 239100    4    0     4     0  847 2131 50  3 46  0  0
 5  0 779732 6474372  11224 239100    8    0     8     0  228  777 48  4 47  0  0
 4  0 779724 6474372  11224 239100    8    0     8     0  850 2085 49  3 48  0  0
 4  0 779720 6474372  11232 239100    0    0     0    16  253  838 50  1 49  0  0
 4  0 779720 6473364  11232 239084    0    0     0     0  809 2033 50  2 48  0  0
 4  0 779720 6472608  11232 239084    0    0     0     0  374 1123 48  5 47  0  0
 4  0 779716 6471600  11232 239084   12    0    12     0  955 2269 49  5 46  0  0
 4  0 779708 6471348  11232 239084    8    0     8     0  280  942 49  2 49  0  0
 4  0 779708 6471348  11240 239076    0    0     0    16  906 2204 50  2 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779704 6471096  11240 239068    4    0     4     0  232  816 50  1 49  0  0
 4  0 779704 6472232  11240 239068    0    0     0     0  843 2148 50  3 47  0  0
 4  0 779704 6471980  11240 239084    0    0     0     0  219  744 48  5 47  0  0
 5  0 779704 6471476  11240 239084    0    0     0     0  893 2143 48  5 47  0  0
 5  0 779704 6471224  11248 239084    0    0     0    16  195  696 49  3 48  0  0
 4  0 779600 6471224  11248 239084  112    0   112     0  803 1933 48  5 46  0  0
 4  0 779600 6471224  11248 239084    0    0     0     0  234  786 49  4 48  0  0
 5  0 779600 6470216  11248 239084    0    0     0     0  890 2142 49  4 47  0  0
 4  0 779600 6469964  11248 239084    0    0     0     0  221  762 48  4 48  0  0
 4  0 779600 6468956  11256 239088    0    0     0    16  580 1517 49  5 47  0  0
 4  0 779600 6468704  11256 239088    0    0     0     0  238  793 48  5 47  0  0
 4  0 779600 6467708  11256 239104    0    0     0     0  683 1748 48  5 46  0  0
 5  0 779600 6467708  11256 239104    0    0     0     0  271  900 49  4 48  0  0
 4  0 779580 6467204  11256 239108   20    0    20     0 1119 2727 50  4 46  0  0
 4  0 779576 6467204  11264 239108    0    0     0    16  229  800 48  4 47  0  0
 4  0 779576 6467204  11264 239108    0    0     0     0  838 2072 49  3 48  0  0
 4  0 779576 6467204  11264 239108    0    0     0    12  219  771 48  5 47  0  0
 4  0 779576 6466952  11264 239108    0    0     0     0  627 1630 48  5 47  0  0
 4  0 779576 6464180  11264 239108    0    0     0     0  327 1028 49  4 47  0  0
 4  0 779524 6465664  11272 239092   80    0    80    28  931 2228 49  4 47  0  0
 4  0 779524 6465664  11272 239092    0    0     0     0  215  786 49  2 48  0  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779524 6460812  11272 239092    0    0     0    16  764 1919 50  3 47  0  0
 4  0 779524 6460812  11272 239092    0    0     0     0  222  777 49  3 48  0  0
 4  0 779524 6455204  11272 239092    0    0     0     0  950 2335 49  5 46  0  0
 4  0 779524 6455204  11280 239108    0    0     0    16  223  803 49  3 48  0  0
 4  0 779524 6455204  11280 239108    0    0     0     0  917 2179 49  4 47  0  0
 4  0 779524 6455204  11280 239108    0    0     0     0  212  775 49  2 48  0  0
 5  0 779524 6455204  11280 239112    0    0     0     0  872 2140 49  4 47  0  0
 4  0 779524 6457128  11280 239112    0    0     0     0  299 1026 49  4 47  0  0
 5  0 779524 6456876  11288 239112    0    0     0    16  406 1187 48  6 46  0  0
 4  0 779524 6458548  11288 239112    0    0     0     0  648 1676 49  3 48  0  0
 4  0 779524 6458296  11288 239112    0    0     0     0  219  794 47  6 47  0  0
 4  0 779524 6457036  11288 239112    0    0     0     0  840 2053 48  5 47  0  0
 4  0 779524 6458044  11288 239116    0    0     0     0  336 1062 48  6 46  0  0
 4  0 779524 6458044  11296 239100    0    0     0    16  898 2146 48  6 46  0  0
 4  0 779520 6458044  11296 239100    0    0     0     0  233  806 48  5 47  0  0
 4  0 779520 6458044  11296 239100    0    0     0     0  910 2176 49  4 47  0  0
 4  0 779520 6458044  11296 239100    0    0     0     0  267  890 49  2 48  0  0
 4  0 779512 6457792  11296 239100    0    0     0     0  886 2151 50  3 47  0  0
 4  0 779512 6457792  11304 239100    0    0     0    16  226  788 48  5 47  0  0
 4  0 779512 6456784  11304 239100    0    0     0     0  872 2113 49  3 47  0  0
 4  0 779424 6454264  11592 241160  164    0  2360    40  342 1063 49  3 48  1  0
procs -----------memory---------- ---swap-- -----io---- -system-- ------cpu-----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st
 5  0 779424 6451504  11592 241160    0    0     0     0  928 2314 49  5 46  0  0
 4  0 779424 6451756  11592 241160    0    0     0     0  187  717 48  4 48  0  0
 4  0 779424 6450748  11592 241160    0    0     0     0  852 2073 50  3 48  0  0
 4  0 779424 6451504  11592 241160    0    0     0     0  188  693 48  5 47  0  0
 4  0 779424 6452652  11592 241176    0    0     0     0  856 2060 49  3 48  0  0
 4  0 779424 6452652  11600 241176    0    0     0    44  185  696 49  2 48  0  0
 4  0 779424 6452152  11600 241176    0    0     0     0  884 2093 47  7 46  0  0
